jobid,stem,rows,final_iter,final_rt,final_error,final_rel_l1err_archived
500699,SOCMartNet_HJBLQ_b1.0_delta0.2_delc0.3_d10000_te1.0_s44i_hjb2_d1e4b64lr4_s1,6001,6000.0,11968.224,0.012890363,
500700,SOCMartNet_HJBLQ_b1.0_delta0.1_delc0.3_d10000_te1.0_s44i_hjb3_d1e4b64lr4_s1,6001,6000.0,11803.14,0.025192996,
500701,SOCMartNet_HJBLQ_b1.0_delta0.2_delc0.3_d10000_te1.0_s44i_hjb2_d1e4b64lr4_s2,6001,6000.0,11805.1455,0.01502906,
500702,SOCMartNet_HJBLQ_b1.0_delta0.1_delc0.3_d10000_te1.0_s44i_hjb3_d1e4b64lr4_s2,6001,6000.0,9004.869,0.024791734,
500703,SOCMartNet_HJBLQ_b1.0_delta0.2_delc0.3_d10000_te1.0_s44i_hjb2_d1e4b64lr4_s3,6001,6000.0,9002.497,0.013249595,
500704,SOCMartNet_HJBLQ_b1.0_delta0.1_delc0.3_d10000_te1.0_s44i_hjb3_d1e4b64lr4_s3,6001,6000.0,11966.103,0.032050073,
500705,SOCMartNet_HJBLQ_b1.0_delta0.2_delc0.3_d10000_te1.0_s44i_hjb2_d1e4b64lr4_s4,6001,6000.0,9003.096,0.013822897,
500706,SOCMartNet_HJBLQ_b1.0_delta0.1_delc0.3_d10000_te1.0_s44i_hjb3_d1e4b64lr4_s4,6001,6000.0,11808.267,0.027637051,
509991,SOCMartNet_ShiftTarget_cg10.0_tg3.0_d100_te1.0_s46i_st_d100_s0,3001,3000.0,250.53627,0.013494713,
509992,SOCMartNet_ShiftTarget_cg10.0_tg3.0_d100_te1.0_s46i_st_d100_s1,3001,3000.0,259.60587,0.008736163,
509993,SOCMartNet_ShiftTarget_cg10.0_tg3.0_d100_te1.0_s46i_st_d100_s2,3001,3000.0,253.32077,0.0111712525,
509994,SOCMartNet_ShiftTarget_cg10.0_tg3.0_d100_te1.0_s46i_st_d100_s3,3001,3000.0,253.31136,0.013684453,
509995,SOCMartNet_ShiftTarget_cg10.0_tg3.0_d100_te1.0_s46i_st_d100_s4,3001,3000.0,255.69754,0.010926144,
509996,SOCMartNet_ShiftTarget_cg10.0_tg3.0_d500_te1.0_s46i_st_d500_s0,3001,3000.0,559.42725,0.002462496,
509997,SOCMartNet_ShiftTarget_cg10.0_tg3.0_d500_te1.0_s46i_st_d500_s1,3001,3000.0,558.5144,0.0038170877,
509998,SOCMartNet_ShiftTarget_cg10.0_tg3.0_d500_te1.0_s46i_st_d500_s2,3001,3000.0,560.2829,0.003101346,
509999,SOCMartNet_ShiftTarget_cg10.0_tg3.0_d500_te1.0_s46i_st_d500_s3,3001,3000.0,557.81866,0.0032338856,
510000,SOCMartNet_ShiftTarget_cg10.0_tg3.0_d500_te1.0_s46i_st_d500_s4,3001,3000.0,559.8592,0.0035232683,
510052,SOCMartNet_ShiftTarget_cg10.0_tg3.0_d100_te1.0_s46j_rho40x_s0,3001,3000.0,255.20486,0.0020566091,
510053,SOCMartNet_ShiftTarget_cg10.0_tg3.0_d100_te1.0_s46k_rho40x_s1,3001,3000.0,253.31181,0.00097496575,
510054,SOCMartNet_ShiftTarget_cg10.0_tg3.0_d100_te1.0_s46k_rho40x_s2,3001,3000.0,249.22717,0.001708937,
510055,SOCMartNet_ShiftTarget_cg10.0_tg3.0_d100_te1.0_s46k_rho40x_s3,3001,3000.0,250.04105,0.0013542061,
510056,SOCMartNet_ShiftTarget_cg10.0_tg3.0_d100_te1.0_s46k_rho40x_s4,3001,3000.0,249.9578,0.0011509904,
511424,SOCMartNet_HJBLQ_b1.0_delta0.1_delc0.3_d100_te1.0_t2b128_g1_d100,6001,6000.0,111.39596,0.050165847,
511426,SOCMartNet_HJBLQ_b1.0_delta0.1_delc0.3_d100_te1.0_t2b128_g2_d100,6001,6000.0,136.1236,0.046977364,
511428,SOCMartNet_HJBLQ_b1.0_delta0.1_delc0.3_d100_te1.0_t2b128_g4_d100,6001,6000.0,150.40216,0.049081434,
511432,SOCMartNet_HJBLQ_b1.0_delta0.1_delc0.3_d100_te1.0_t2b128_g8_d100,6001,6000.0,152.10701,0.057932884,
511585,SOCMartNet_HJBLQ_b1.0_delta0.1_delc0.3_d500_te1.0_t2b128_g1_d500,6001,6000.0,409.6759,0.039982643,
511594,SOCMartNet_HJBLQ_b1.0_delta0.1_delc0.3_d500_te1.0_t2b128_g2_d500,6001,6000.0,230.4404,0.04004123,
511603,SOCMartNet_HJBLQ_b1.0_delta0.1_delc0.3_d500_te1.0_t2b128_g4_d500,6001,6000.0,151.16159,0.044045486,
511803,SOCMartNet_HJBLQ_b1.0_delta0.1_delc0.3_d500_te1.0_t2b128_g8_d500,6001,6000.0,155.59117,0.05547938,
511883,SOCMartNet_HJBLQ_b1.0_delta0.1_delc0.3_d800_te1.0_t2b128_g1_d800,6001,6000.0,960.9768,0.05791828,
511922,SOCMartNet_HJBLQ_b1.0_delta0.1_delc0.3_d800_te1.0_t2b128_g2_d800,6001,6000.0,517.4534,0.051062584,
511938,SOCMartNet_HJBLQ_b1.0_delta0.1_delc0.3_d800_te1.0_t2b128_g4_d800,6001,6000.0,295.4604,0.059212588,
511959,SOCMartNet_HJBLQ_b1.0_delta0.1_delc0.3_d800_te1.0_t2b128_g8_d800,6001,6000.0,194.07689,0.043180484,
511970,SOCMartNet_HJBLQ_b1.0_delta0.1_delc0.3_d1000_te1.0_t2b128_g1_d1000,6001,6000.0,1299.525,0.13888356,
511973,SOCMartNet_HJBLQ_b1.0_delta0.1_delc0.3_d1000_te1.0_t2b128_g2_d1000,6001,6000.0,701.3492,0.14534585,
511978,SOCMartNet_HJBLQ_b1.0_delta0.1_delc0.3_d1000_te1.0_t2b128_g4_d1000,6001,6000.0,387.62692,0.12930614,
512044,SOCMartNet_HJBLQ_b1.0_delta0.1_delc0.3_d1000_te1.0_t2b128_g8_d1000,6001,6000.0,235.3443,0.14980917,
512215,SOCMartNet_HJBLQ_b1.0_delta0.1_delc0.3_d2000_te1.0_t2b128_g1_d2000,6001,6000.0,4811.7437,0.12785181,
512248,SOCMartNet_HJBLQ_b1.0_delta0.1_delc0.3_d2000_te1.0_t2b128_g2_d2000,6001,6000.0,2500.7832,0.117891036,
